run_id,in_channels,hidden_layers,out_channels,dropout,lr,val_mae,epochs
GCN_d3_h256_p10_lr1e-03,4,"[256, 256, 256]",3,0.1,0.001,435.54,15
GCN_d3_h128_p10_lr1e-03,4,"[128, 128, 128]",3,0.1,0.001,436.31,15
GCN_d3_h256_p40_lr1e-03,4,"[256, 256, 256]",3,0.4,0.001,437.2,15
GCN_d3_h128_p40_lr1e-03,4,"[128, 128, 128]",3,0.4,0.001,437.8,15
GCN_d3_h128_p40_lr3e-03,4,"[128, 128, 128]",3,0.4,0.003,437.81,15
GCN_d3_h256_p10_lr3e-03,4,"[256, 256, 256]",3,0.1,0.003,438.4,15
GCN_d2_h128_p40_lr1e-03,4,"[128, 128]",3,0.4,0.001,439.99,15
GCN_d3_h128_p10_lr3e-03,4,"[128, 128, 128]",3,0.1,0.003,440.68,15
GCN_d2_h128_p10_lr1e-03,4,"[128, 128]",3,0.1,0.001,444.0,21
GCN_d2_h256_p40_lr1e-03,4,"[256, 256]",3,0.4,0.001,444.17,15
GCN_d2_h256_p10_lr1e-03,4,"[256, 256]",3,0.1,0.001,444.55,15
GCN_d3_h256_p40_lr3e-03,4,"[256, 256, 256]",3,0.4,0.003,445.45,15
GCN_d2_h256_p10_lr3e-03,4,"[256, 256]",3,0.1,0.003,445.62,15
GCN_d2_h128_p10_lr3e-03,4,"[128, 128]",3,0.1,0.003,446.5,17
GCN_d2_h128_p40_lr3e-03,4,"[128, 128]",3,0.4,0.003,446.61,17
GCN_d2_h256_p40_lr3e-03,4,"[256, 256]",3,0.4,0.003,448.53,15
