run_id,in_channels,hidden_layers,out_channels,dropout,aggr,lr,val_mae,epochs
GraphSAGE_d2_h128_p40_lr3e-03,4,"[128, 128]",3,0.4,mean,0.003,420.4,15
GraphSAGE_d2_h256_p10_lr3e-03,4,"[256, 256]",3,0.1,mean,0.003,421.85,15
GraphSAGE_d2_h128_p10_lr3e-03,4,"[128, 128]",3,0.1,max,0.003,423.92,15
GraphSAGE_d2_h128_p10_lr1e-03,4,"[128, 128]",3,0.1,max,0.001,424.78,15
GraphSAGE_d2_h128_p10_lr3e-03,4,"[128, 128]",3,0.1,mean,0.003,426.51,32
GraphSAGE_d2_h128_p10_lr1e-03,4,"[128, 128]",3,0.1,mean,0.001,426.87,46
GraphSAGE_d2_h128_p40_lr3e-03,4,"[128, 128]",3,0.4,max,0.003,429.56,15
GraphSAGE_d2_h256_p10_lr1e-03,4,"[256, 256]",3,0.1,max,0.001,430.31,15
GraphSAGE_d2_h256_p40_lr3e-03,4,"[256, 256]",3,0.4,mean,0.003,431.98,26
GraphSAGE_d2_h256_p40_lr1e-03,4,"[256, 256]",3,0.4,mean,0.001,433.51,15
GraphSAGE_d2_h256_p10_lr1e-03,4,"[256, 256]",3,0.1,mean,0.001,433.81,15
GraphSAGE_d2_h128_p40_lr1e-03,4,"[128, 128]",3,0.4,mean,0.001,435.27,15
GraphSAGE_d2_h256_p10_lr3e-03,4,"[256, 256]",3,0.1,max,0.003,438.79,19
GraphSAGE_d2_h256_p40_lr1e-03,4,"[256, 256]",3,0.4,max,0.001,439.85,15
GraphSAGE_d2_h256_p40_lr3e-03,4,"[256, 256]",3,0.4,max,0.003,442.42,15
GraphSAGE_d2_h128_p40_lr1e-03,4,"[128, 128]",3,0.4,max,0.001,445.28,15
